t0 t1 t2 i0 i1 i2 m0 m1 m2 r0 r1 r2 p0 p1 p2 
97.16856 0 0 0 0 0 359.9729 0 0 0 0 0 1.336346E-08 0 0.1840197 
97.16925 0.002426301 0.004868181 0.007459822 0.009747714 0.007728411 359.9803 0.009747711 0.007728435 0.007459758 0.009747727 0.007728415 0.007459752 0.009747718 0.1917481 
97.16925 0.002426301 0.004868181 0.007459822 0.009747714 0.007728411 359.9803 0.009747711 0.007728435 0.007459758 0.009747727 0.007728415 0.007459752 0.009747718 0.1917481 
97.16925 0.002426301 0.004868181 0.007459822 0.009747714 0.007728411 359.9803 0.009747711 0.007728435 0.007459758 0.009747727 0.007728415 0.007459752 0.009747718 0.1917481 
97.1737 0.01907145 0.03826673 0.0586421 0.07663358 0.0607541 0.0315211 0.07663357 0.06075434 0.05864169 0.07663373 0.06075413 0.0586416 0.07663364 0.2447738 
97.17534 0.02524896 0.05066184 0.07763704 0.1014561 0.08043313 0.05051592 0.1014561 0.08043346 0.0776365 0.1014563 0.08043317 0.07763633 0.1014562 0.2644529 
97.17723 0.03234567 0.06490123 0.09945788 0.1299714 0.10304 0.07233679 0.1299714 0.1030404 0.09945732 0.1299716 0.10304 0.09945713 0.1299715 0.2870598 
97.18037 0.04414802 0.08858222 0.1357469 0.1773926 0.1406359 0.1086258 0.1773926 0.1406365 0.1357462 0.1773929 0.1406361 0.1357459 0.1773927 0.3246558 
97.18279 0.05320342 0.1067514 0.163589 0.2137752 0.1694808 0.1364679 0.2137751 0.1694815 0.1635884 0.2137755 0.169481 0.1635881 0.2137753 0.3535007 
97.18683 0.06839368 0.1372296 0.2102925 0.2748036 0.2178664 0.1831715 0.2748035 0.2178672 0.2102919 0.2748041 0.2178666 0.2102915 0.2748038 0.4018863 
97.18974 0.07931145 0.1591351 0.2438592 0.3186648 0.2526417 0.2167382 0.3186646 0.2526427 0.2438584 0.3186653 0.2526419 0.243858 0.3186649 0.4366616 
97.19456 0.09743702 0.1955021 0.2995847 0.3914794 0.310374 0.2724637 0.3914792 0.3103752 0.299584 0.3914801 0.3103742 0.2995834 0.3914796 0.494394 
97.19804 0.1105112 0.2217338 0.3397793 0.4439991 0.3520158 0.3126583 0.443999 0.3520171 0.3397784 0.4439998 0.352016 0.3397779 0.4439994 0.5360358 
97.20172 0.1243938 0.2495873 0.382458 0.4997641 0.3962313 0.3553371 0.4997639 0.3962328 0.3824573 0.4997648 0.3962316 0.3824566 0.4997643 0.5802513 
97.20764 0.1467535 0.2944485 0.4511963 0.5895767 0.4674444 0.4240754 0.5895764 0.467446 0.4511954 0.5895776 0.4674447 0.4511947 0.589577 0.6514643 
97.21185 0.1625756 0.3261926 0.4998353 0.6531265 0.5178342 0.4727144 0.6531262 0.517836 0.4998343 0.6531276 0.5178347 0.4998335 0.653127 0.7018543 
97.21852 0.1878455 0.3768919 0.577516 0.7546197 0.5983116 0.5503953 0.7546192 0.5983137 0.5775151 0.7546207 0.598312 0.5775142 0.75462 0.7823318 
97.22328 0.2056693 0.4126514 0.6323056 0.8262029 0.6550734 0.6051849 0.8262026 0.6550756 0.6323048 0.8262039 0.6550739 0.6323037 0.8262033 0.8390936 
